model,repeat,scenario_id,wait_time,efficacy,side_effects,text,P_LLM,P_static,parse_ok
Qwen-max,5,C_16a,2,0.5,mild,"Standard vaccination process.",0.65,0.5233579856996927,True
Qwen-max,1,C_16b,2,0.9,mild,"Standard vaccination process.",0.65,0.6630911404177637,True
Qwen-max,2,C_16b,2,0.9,mild,"Standard vaccination process.",0.72,0.6630911404177637,True
Qwen-max,3,C_16b,2,0.9,mild,"Standard vaccination process.",0.72,0.6630911404177637,True
Qwen-max,4,C_16b,2,0.9,mild,"Standard vaccination process.",0.65,0.6630911404177637,True
Qwen-max,5,C_16b,2,0.9,mild,"Standard vaccination process.",0.65,0.6630911404177637,True
Qwen-max,1,C_17a,2,0.5,mild,"The vaccination is extremely fast and completely painless.",0.65,0.5233579856996927,True
Qwen-max,2,C_17a,2,0.5,mild,"The vaccination is extremely fast and completely painless.",0.65,0.5233579856996927,True
Qwen-max,3,C_17a,2,0.5,mild,"The vaccination is extremely fast and completely painless.",0.65,0.5233579856996927,True
Qwen-max,4,C_17a,2,0.5,mild,"The vaccination is extremely fast and completely painless.",0.65,0.5233579856996927,True
Qwen-max,5,C_17a,2,0.5,mild,"The vaccination is extremely fast and completely painless.",0.65,0.5233579856996927,True
Qwen-max,1,C_17b,2,0.9,mild,"Requires cross-city travel and long queuing.",0.45,0.6630911404177637,True
Qwen-max,2,C_17b,2,0.9,mild,"Requires cross-city travel and long queuing.",0.45,0.6630911404177637,True
Qwen-max,3,C_17b,2,0.9,mild,"Requires cross-city travel and long queuing.",0.45,0.6630911404177637,True
Qwen-max,4,C_17b,2,0.9,mild,"Requires cross-city travel and long queuing.",0.5,0.6630911404177637,True
Qwen-max,5,C_17b,2,0.9,mild,"Requires cross-city travel and long queuing.",0.5,0.6630911404177637,True
Qwen-max,1,C_18a,2,0.5,mild,"Vaccination is completely free and includes a private car service.",0.72,0.5233579856996927,True
Qwen-max,2,C_18a,2,0.5,mild,"Vaccination is completely free and includes a private car service.",0.72,0.5233579856996927,True
Qwen-max,3,C_18a,2,0.5,mild,"Vaccination is completely free and includes a private car service.",0.65,0.5233579856996927,True
Qwen-max,4,C_18a,2,0.5,mild,"Vaccination is completely free and includes a private car service.",0.65,0.5233579856996927,True
Qwen-max,5,C_18a,2,0.5,mild,"Vaccination is completely free and includes a private car service.",0.72,0.5233579856996927,True
Qwen-max,1,C_18b,2,0.9,mild,"Requires a self-payment of 800 RMB and you must travel on your own.",0.5,0.6630911404177637,True
Qwen-max,2,C_18b,2,0.9,mild,"Requires a self-payment of 800 RMB and you must travel on your own.",0.5,0.6630911404177637,True
Qwen-max,3,C_18b,2,0.9,mild,"Requires a self-payment of 800 RMB and you must travel on your own.",0.5,0.6630911404177637,True
Qwen-max,4,C_18b,2,0.9,mild,"Requires a self-payment of 800 RMB and you must travel on your own.",0.5,0.6630911404177637,True
Qwen-max,5,C_18b,2,0.9,mild,"Requires a self-payment of 800 RMB and you must travel on your own.",0.5,0.6630911404177637,True
Qwen-max,1,C_19a,2,0.5,mild,"Standard vaccination process.",0.65,0.5233579856996927,True
Qwen-max,2,C_19a,2,0.5,mild,"Standard vaccination process.",0.65,0.5233579856996927,True
Qwen-max,3,C_19a,2,0.5,mild,"Standard vaccination process.",0.65,0.5233579856996927,True
Qwen-max,4,C_19a,2,0.5,mild,"Standard vaccination process.",0.65,0.5233579856996927,True
Qwen-max,5,C_19a,2,0.5,mild,"Standard vaccination process.",0.65,0.5233579856996927,True
Qwen-max,1,C_19b,6,0.9,mild,"Waiting time is 6 months, but you will receive a 5,000 RMB cash reward immediately after vaccination.",0.72,0.4035006628128335,True
Qwen-max,2,C_19b,6,0.9,mild,"Waiting time is 6 months, but you will receive a 5,000 RMB cash reward immediately after vaccination.",0.72,0.4035006628128335,True
Qwen-max,3,C_19b,6,0.9,mild,"Waiting time is 6 months, but you will receive a 5,000 RMB cash reward immediately after vaccination.",0.72,0.4035006628128335,True
Qwen-max,4,C_19b,6,0.9,mild,"Waiting time is 6 months, but you will receive a 5,000 RMB cash reward immediately after vaccination.",0.65,0.4035006628128335,True
Qwen-max,5,C_19b,6,0.9,mild,"Waiting time is 6 months, but you will receive a 5,000 RMB cash reward immediately after vaccination.",0.72,0.4035006628128335,True
Qwen-max,1,C_20a,2,0.5,severe,"Standard vaccination process.",0.45,0.4724030747335676,True
Qwen-max,2,C_20a,2,0.5,severe,"Standard vaccination process.",0.45,0.4724030747335676,True
Qwen-max,3,C_20a,2,0.5,severe,"Standard vaccination process.",0.45,0.4724030747335676,True
Qwen-max,4,C_20a,2,0.5,severe,"Standard vaccination process.",0.5,0.4724030747335676,True
Qwen-max,5,C_20a,2,0.5,severe,"Standard vaccination process.",0.5,0.4724030747335676,True
Qwen-max,1,C_20b,6,0.9,mild,"Side effects are minimal and efficacy is 90%, but requires cross-city travel and 6-month wait. A luxury lunch is provided.",0.5,0.4035006628128335,True
Qwen-max,2,C_20b,6,0.9,mild,"Side effects are minimal and efficacy is 90%, but requires cross-city travel and 6-month wait. A luxury lunch is provided.",0.5,0.4035006628128335,True
Qwen-max,3,C_20b,6,0.9,mild,"Side effects are minimal and efficacy is 90%, but requires cross-city travel and 6-month wait. A luxury lunch is provided.",0.5,0.4035006628128335,True
Qwen-max,4,C_20b,6,0.9,mild,"Side effects are minimal and efficacy is 90%, but requires cross-city travel and 6-month wait. A luxury lunch is provided.",0.5,0.4035006628128335,True
Qwen-max,5,C_20b,6,0.9,mild,"Side effects are minimal and efficacy is 90%, but requires cross-city travel and 6-month wait. A luxury lunch is provided.",0.5,0.4035006628128335,True
